Pattern String,Comment,Pattern Category,Where in website?,Deceptive?,Website Page
01 Hours 37 Minutes 48 Seconds 1/10s,Resets. Hurrify.,Urgency,Product Page,Yes,https://rosymerry.com/collections/newest-products/products/vintage-plain-crew-neck-long-sleeve-plus-size-blouse
65% of our customers added Surefit protection this year.,,Social Proof,Cart Page,No,https://www.blindsdirect.co.uk/product/touched-by-design-essence-french-grey-faux-wood-venetian-blind
94% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://www.simplycarbonfiber.com/products/real-carbon-fiber-heart
,Sale. Resets.,Urgency,Product Page,Yes,https://kawaiination.com
Someone in United States just purchased a,Periodic popup,Social Proof,Product Page,No,https://www.louiesupply.com/collections/outerwear/products/winchester-waist-strap-pea-coat-3?variant=17988343431257
,Sale,Urgency,Product Page,No,https://www.lashkaraa.com
,Shipping,Urgency,Product Page,No,https://www.poolsupplies.com
,Shipping,Urgency,Product Page,No,https://www.wristband.com
No I don't feel lucky,Sidewheel popup,Misdirection,Product Page,No,https://www.golfavenue.com/us/cobra-ultralight-2018-white-grey-electricblue-cart-bag
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://dudegadgets.com/products/10-pcs-finger-massage-rings?variant=397727596551
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Product detail,Urgency,Product Page,No,https://chinagadgetsreviews.com/utorch-corridor-porch-aisle-lights-flash-sale-for-only-7-99-gearbest.html
4 bought in the last 24 hours.,Product image,Social Proof,Product Page,No,https://www.trespass.com/munros-womens-dlx-waterproof-down-jacket
Only 1 left in stock!,Product detail,Scarcity,Product Page,No,https://rollersnakes.co.uk/products/adidas-busenitz-vulc-rx-core-blackcore-blackfootwear-white-footwear?utm_source=beeketing&utm_medium=precommend&app=precommend&widget_id=38874d6f70119456f229f5933a7e8fc5a8e069b30f7e1566b96e0eaf13979f99&variant=8696985780334
10 Left,Product detail,Scarcity,Product Page,No,https://www.namenecklace.com/14k-gold-plated-carrie-name-necklace-copper-ntjznl32.html
Only 1 piece left.,Product detail,Scarcity,Product Page,No,https://www.mirraw.com/designers/style-in-banaras/designs/sky-blue-woven-banarasi-silk-saree-with-blouse-banarasi-silk-saree--15c6eb80-f707-45ea-bc37-a317ba3987cc
Hurry! Only 9 left in stock.,Product detail. Decrements at scheduled intervals. Hurrify.,Scarcity,Product Page,Yes,https://rednecknationstrong.com/products/mudweiser-rnss-54
Items will be reserved in your cart for 19:10,Top right corner. Resets on page load. Goes away when ends.,Urgency,Cart Page,Yes,https://www.justfab.co.uk/products/Mid-Rise-Skiiny-Jeans-With-Pocket-Stitching-SY1827461-4038?psrc=Seasonal_Shop_UK_-_Essential_Story_-_Template_1_-_1808
11 people viewed this today!,Product image,Social Proof,Product Page,No,https://www.harveynorman.com.sg/cameras-phones-and-gps/phones-and-gps/mobile-phones/samsung-galaxy-s10plus-512gb-wht.html
"No thanks, free stuff isn't for me.",Popup,Misdirection,Product Page,No,https://www.naturehills.com/cotoneaster-peking
,Sale. Banner.,Urgency,Product Page,No,https://shopdixi.com
Cart will expire in 04:53 minutes!,Above contact information. Resets,Urgency,Cart Page,Yes,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.anarchiststate.com
Low Stock – Selling Fast,Product detail,Scarcity,Product Page,No,https://beds.co.uk/product/beds-co-uk-divan-fabric-bed-with-open-spring-memory-foam-mattress/?attribute_pa_ajfoams_mattress_size=2ft6-small-single&attribute_pa_durest_storage=65-2drawersonsameside&attribute_pa_durest_headboardcolour=pink-leather
Only 65 Items Left.,Product detail,Scarcity,Product Page,No,https://www.tmart.com/Universal-8-Ports-LED-Screen-Display-USB-Smart-Charger-Power-Supply-Socket-for-USB-Charging-Device-US-Plug-White_p347010.html
9 people are viewing this.,Product detail,Social Proof,Product Page,No,https://brightechshop.com/products/ambience-solar-1w?variant=8038410879012
Limited time offer.,Produt detail,Urgency,Product Page,No,https://www.samsung.com/us/shop/all-deals/
70% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://hygoshop.com/products/anti-snoring-device
"No Thanks, I Don't Want a Discount",Popup,Misdirection,Product Page,No,https://www.sprezzabox.com/collections/best-sellers-1/products/navy-bouquet-cotton-tie-brooklyn
"No thanks, I'd like 0% off",Popup,Misdirection,Product Page,No,https://criquetshirts.com/products/cotton-cashmere-pocket-crew-neck-sweater-charcoal-hthr
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Periodic popup,Social Proof,Product Page,No,https://casettetomp3.com/products/mini-usb-audio-cassette-tape-converter-to-mp3-cd-player-pc?variant=2859265032202&utm_source=fomo&utm_medium=notification
127 People viewed this product this week,Lower left corner,Social Proof,Product Page,No,https://www.linenchest.com/en/ricardo-hand-blender-with-chopper-and-beaker.html
,Sale,Urgency,Product Page,No,https://pages.daraz.lk
IN 43 PEOPLE'S SHOPPING BAG,Product image top left corner,Social Proof,Product Page,No,https://www.maccosmetics.co.uk/product/13825/57811/products/skincare/primers/prep-prime-fix-mattifying-mist
"Leah Rich in Louisville, United States purchased a",Periodic popup,Social Proof,Product Page,No,https://fwreshinc.com/products/shade-shifter-multichrome-nail-polish-0-5-oz-full-sized-bottle
Hurry up! Discount Ends in DAYS HRS MINS SECS,Product detail page,Urgency,Product Page,No,https://mrosy.com/products/patchwork-open-back-one-piece-swimwear?variant=21949528932416
Purchased 100+ times in the last few days.,Product image,Social Proof,Product Page,No,https://www.na-kd.com/en/na-kd/womens-day-tee-white
"Order soon, only 1 left!",Product detail,Scarcity,Cart Page,No,https://www.walmart.com/ip/Kedudes-Polka-Dot-Plastic-Tablecloth-Red-White-and-Black-White-and-Two-Packages-of-Polkadot-Balloons/551233681?findingMethod=wpa&tgtp=1&cmp=18050&relRank=6&tax=2637_1042319_7939259&pt=bp&slr=A7B4C4363D9E4B2CB698EA8D0CC9A694&adgrp=19136&bt=1&plmt=1145x345_B-C-OG_TI_2-20_HL-BOTTOM-NY&wpa_qs=23eQip7S90bVy9URdKRb43TvauTjlDU3l_XDKDdG_8MqXzEIqnitD_g83tgNojJUWc-1LP8vcxbVNq52UQAbB1wumIY0N6nxW5Pg2FG7yTo&bkt=&mLoc=bottom&pgid=2637_1042319_7939259&isSlr=true&itemId=551233681&relUUID=36077689-526d-4fd7-989b-9e8e024ffc00&adUid=102529ab-9873-4443-bbe2-5ba4d7a51cff&adiuuid=81fda283-b1ed-42b0-914a-17f0062a10b5&adpgm=wpa&pltfm=desktop
19 people viewed this product per day,Product detail,Social Proof,Product Page,No,https://www.bbbsports.com/apparel/augusta-adult-wicking-long-sleeve-t-shirt/
Only 1 items left,Product detail,Scarcity,Product Page,No,https://cemarose.com/products/17958-01?variant=39767495564
70% offers claimed. Hurry up!,Wheel popup,Scarcity,Product Page,No,https://www.vitalityextracts.com/collections/diffuser-jewelry/products/sacred-arrow-diffuser-bracelet
HURRY! ONLY 1 IN STOCK!,Product detail,Scarcity,Product Page,No,https://www.superfi.co.uk/p-21337-marantz-sr6013-92-channel-4k-network-av-surround-receiver-with-heos-and-alexa-voice.aspx
,Shipping,Urgency,Product Page,No,https://www.xenonhids.com
,Shipping,Urgency,Product Page,No,https://www.swelluk.com
"No thanks, I don't want a free gift.",Popup,Misdirection,Product Page,No,https://www.officesupply.com/office-supplies/healthcare-supplies/exam-room-supplies/examination-gloves/kimberly-clark-professional-purple-nitrile-exam-gloves-length-large-purple/p8456.html?q=
,Shipping,Urgency,Product Page,No,https://www.ticwatches.co.uk
"Our items sell fast, don't miss out!",Popup,Scarcity,Cart Page,No,https://www.simplycarbonfiber.com/products/real-carbon-fiber-heart
ONLY 3 LEFT,Product detail,Scarcity,Product Page,No,https://www.cambridgesatchel.com/collections/the-chinese-new-year-collection/products/large-traveller-bag-with-side-pockets-in-leather-oxblood
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.treds.co.uk/womens/flip-flops/free-waters/becca-print/cali/45x5
Only 3 left,Product detail,Scarcity,Product Page,No,https://www.wildsecrets.com.au/p/226130/mistress-by-isabella-sinclaire-self-adjusting-universal-leather-restraints
,Sale,Urgency,Product Page,No,https://swagtron.com
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.swfa.com/swarovski-aluminum-flip-open-objective-lens-cover-3.html
Want Free Shipping?,You get free shipping over 75$ even without entering data in the popup,Misdirection,Home Page,No,https://www.filtersfast.com/
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.ecanopy.com
"No, thanks. I'd rather pay full price.",Popup,Misdirection,Product Page,No,https://www.mud-pie.com/Rice---Beans-Circa-Serving-Dish-Set-46000094/
,Website adds free items to show discount even if original is not on discount,Misdirection,Cart Page,No,https://www.dyson.co.uk/sticks/dyson-v6-cord-free.html
"No thank you, I prefer to pay for shipping.",Popup,Misdirection,Product Page,No,https://www.blair.com/p/scandia-woods/on-sale/scandia-woods-long-sleeve-denim-and-twill-shirts/pc/1627/sc/3406/32538.uts
ONLY 3 LEFT IN STOCK!,Product detail,Scarcity,Product Page,No,https://www.etnies.com/us/mens/shoes/marana-vulc-4101000425.html?dwvar_4101000425_color=133
Limited stock!,Product detail,Scarcity,Product Page,No,https://fuzz.online/products/fg-grater
"No, I'll rather pay full price.",Popup,Misdirection,Product Page,No,https://biofinest.com/en/home/445-barley-grass-juice-powder-organic-superfood.html
No thanks. I don’t want deals.,Popup,Misdirection,Product Page,No,https://www.net32.com/ec/house-brand-saliva-ejectors-clear-blue-wirereinforced-d-128110
SAVE $300.00\nfor limited time,Produt detail,Urgency,Product Page,No,https://www.projectorpeople.com/Epson-Home-Cinema-4000-3D-4K-Enhancement/Projector/41761
"No, I don't feel lucky",Sidewheel popup,Misdirection,Product Page,No,https://chicdelta.com/products/adjustable-heel-ankle-belt
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Periodic popup,Social Proof,Product Page,No,https://www.slickieslaces.com/collections/japanese-katakana-kanji-shoe-laces/products/limited-edition-nmd-ultra-boost-basics-flat-laces-og-katakana-black
This item is in high demand.,Below ATC button,Scarcity,Product Page,No,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
Only 14 left in stock,Product detail,Scarcity,Product Page,No,https://cannabismo.ca/products/sale-items/
Last chance! Only 1 left,Product detail,Scarcity,Cart Page,No,https://www.freestylextreme.com/us/home/brands/oneill/oneill-forest-night-hybrid-finesse-womens-snowboarding-jacket.aspx?prodid=388122&refine=d%7b3422%7d&catid=4373
No I don't feel lucky,Side wheel,Misdirection,Product Page,No,https://www.kismetcollections.com/products/cherry-palazzo-pants?variant=6759939604519&utm_source=what-other-people-bought&utm_medium=notification&pid=481841250343
,Discount code,Urgency,Product Page,No,https://propshop24.com
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,Product detail. Resets. Limited stock.,Urgency,Product Page,Yes,https://voe21.com/collections/all-products-1/products/the-void
,Origin unclear,Social Proof,Product Page,No,https://www.mylola.com/products/cardboard-applicator-tampons
I'LL PAY FULL PRICE,Full page popup,Misdirection,Product Page,No,https://www.adoreme.com/designer-collection/amelie-plus
There are only 1 item left in stock.,Product detail,Scarcity,Product Page,No,https://www.videogameperfection.com/products/stereo-installation-service/
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Checkout Process,No,https://adogadgets.com/collections/most-popular/products/quadcopter-wifi-hd-camera-drone
Only 1 left,Product detail,Scarcity,Product Page,No,https://amourvert.com/products/viviana-logo-sweatshirt?&variant=16013881147463
Only 13 left!,Product detail,Scarcity,Product Page,No,https://www.naturehills.com/apple-tree-pink-lady-cripps-pink-variety
,VIP membership default,Misdirection,Product Page,No,https://www.adoreme.com/designer-collection/amelie-plus
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Periodic popup,Social Proof,Product Page,No,https://www.luckytacklebox.com/products/bass-tournament-series
ONLY 1 LEFT IN THIS SIZE,Product detail,Scarcity,Product Page,No,https://www.bandier.com/super-maxi-fit-zip-hooded-sweatshirt
"Hurry, only 3 left!",Product detail,Scarcity,Product Page,No,https://fivestoryny.com/collections/valentines-day-shop/products/longsleeve-v-neckline-floral-ruffle-dress
Only 5 left!,Product detail,Scarcity,Cart Page,No,https://www.savagex.com/shop/balconette-bra-ba1930861-0531-8066440
HURRY! £32.99 UK DELIVERY ENDS SOON,Banner,Urgency,Product Page,No,https://www.isawitfirst.com/collections/new-in/products/leopard-print-frill-wrap-dress-mid-brown-jl35429
117 people have viewed this item in the last 7 days.,Product image,Social Proof,Product Page,No,https://markselectrical.co.uk/24945_Fisher-%26-Paykel-American-Fridge-Freezer.html
"No thanks, I don't want to look my best",Popup,Misdirection,Product Page,No,https://www.dailylook.com/p/Skinny/Just-Black-Ariane-Destroyed-Mid-Rise-Skinny-Crop/155895.html
Your order is reserved for 19:57 minutes.,Resets. ConversionPirate.,Urgency,Cart Page,Yes,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Periodic popup,Social Proof,Product Page,No,https://flattummyco.com/products/flat-tummy-essentials-bundle?variant=15390293786712
RECENTLY VIEWED 2 others viewed this in the last few hours,Product image,Social Proof,Product Page,No,https://www.jd-sports.com.au/product/purple-nike-air-max-dia-womens/1176444_jdsportsau/
Only 3 left,Product detail,Scarcity,Product Page,No,https://www.temptationgifts.com/product/blank-red-your-name-in-lights-bauble-gaeltag-keltika
3 people are looking at this item right now,Product detail,Social Proof,Product Page,No,https://www.brandsforless.ae/productdetails.aspx?p=JT-Rose-Floral-Box-Blue-313369&subcategory=Home-Living+Storage-Organization-354&mc=other
00DAYS07HOURS09MINUTES39SECONDS,Product detail. Hurrify,Urgency,Product Page,Yes,https://lilyvanity.com/collections/makeup/products/lilyvanity-waterproof-lipstick-pen?variant=936738193415
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Timer at top of page,Urgency,Product Page,No,https://www.shop49ers.com/mens-san-francisco-49ers-cropped-big-logo-slide/p-70037754895060+z-807-1491077923
Other Items On Special Offer:,Upselling popup,Misdirection,Product Page,No,https://www.ottega.com/collections/watches/products/the-immaculate?variant=29803056914
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Product detail,Urgency,Product Page,No,https://www.bodybuilding.com/store/muscletech/hydroxycut-hardcore-elite.html
"BERNARD in Philadelphia, United States purchased a",Periodic popup,Social Proof,Product Page,No,https://rosymerry.com/collections/newest-products/products/vintage-plain-crew-neck-long-sleeve-plus-size-blouse
Only 4 left,Product detail,Scarcity,Product Page,No,https://www.ugaoo.com/gardenia-ceramic-designer-pyramid-groove-pattern-small-bare-white.html
6 customers have this in their basket,Product image,Social Proof,Product Page,No,https://www.schuh.co.uk/womens/vans-slip-on-lite-2-tone-black-and-pink-trainers/1974839370/
Only 1 Left !,Product detail,Scarcity,Product Page,No,https://wolfandshepherd.com/products/bannister-derby?variant=16121439453257
ONLY 1 LEFT! GET IT NOW!,Product detail,Scarcity,Product Page,No,https://blnts.com/collections/bn_new_shop-all-new/products/0596-31791952-womens-rainbow-definition-graphic-long-sleeve-tee
LIMITED OFFER: $125 Off + 2 Free Pillows,Product detail,Urgency,Product Page,No,https://www.nectarsleep.com/mattress
Only 4 left,Product detail,Scarcity,Product Page,No,https://www.ultimatepatio.com/lakeview-outdoor-designs/du-monde-3-piece-cast-aluminum-outdoor-conversation-set-w-42-x-21-inch-coffee-table-loveseat-cast-silver-cushions
,Discount code. Resets after hitting zero.,Urgency,Product Page,Yes,https://www.brathwait.com
1 left in stock,Product detail,Scarcity,Product Page,No,https://www.aspinaloflondon.com/products/large-essential-cosmetic-case-in-pale-gold-pebble
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,Popup asking to buy more,Misdirection,Product Page,No,https://fans-made.com/collections/marvel-products/products/sexy-motherf-ker-unisex-hoodie
Only 9 units left in stock online.,Product detail,Scarcity,Product Page,No,https://www.farmers.co.nz/electrical/kitchen-appliances/food-processors-mixers-blenders/russell-hobbs-5-5-litre-kitchen-machine-rhkm10-6373673
Only 1 Left!,Product detail,Scarcity,Product Page,No,https://www.caraudiocentre.co.uk/product_m-kenwood-ddx-5016dab_p-33238.htm
On Sale! Limited Time Offer!,,Urgency,Product Page,No,https://www.proflowers.com/product/premium-all-the-frills-prd-30185587
,Deal.,Urgency,Product Page,No,https://eyecandys.com
7 customers have this in their basket,Product image,Social Proof,Product Page,No,https://www.schuh.eu/en-eu/womens/nike-air-force-1-07-lv8-jdi-black-and-white-trainers/1960657260/
Your order is reserved for 09:35 minutes!,"Conversion pirate plugin, resets",Urgency,Checkout Process,Yes,https://fans-made.com/collections/marvel-products/products/sexy-motherf-ker-unisex-hoodie
"Hurry, only 1 left!",Product detail,Scarcity,Product Page,No,https://us.fashionbunker.com/on-and-off-midi-dress-black-abstract?___store=usa&nosto=notfound-nosto-2
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://voe21.com/collections/all-products-1/products/the-void
ONLY 1 LEFT IN STOCK!,Product detail,Scarcity,Product Page,No,https://www.mytrendyphone.eu/shop/canon-bci-1431pc-ink-162122p.html
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Banner,Urgency,Product Page,No,https://www.traxnyc.com/Mens-Chains-Gold-Chains-10k-Gold-Diamond-Cut-Cuban-Chain-30-Inches-4mm-9.07Grams-item33012.html
Days left until the offer ends: 00 Days 04:43:35,"Product detail. Switches to a new deal each day, varying the price by a little amount.",Urgency,Product Page,No,https://www.bestpartstore.co.uk/9394961-maxgear-air-filter
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Periodic popup,Social Proof,Product Page,No,https://brandsego.com/collections/under-rs-99/products/b-s-n-lip-gloss-na6977
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Periodic popup,Social Proof,Product Page,No,https://cbdfx.com/products/og-kush-cbd-terpenes-vape-pen-50mg/
Only 1 left in stock!,Product detail,Scarcity,Product Page,No,https://www.bergfreunde.eu/new-balance-womens-fresh-foam-cruz-sneakers/?cnid=4afc520f5d2fbfa7b31851519f19b
436 users are currently active on our website Just now,Lower left corner,Social Proof,Product Page,No,https://zox.la/collections/straps/products/make-it-happen
Only 3 Left!,Product detail,Scarcity,Product Page,No,https://www.agacistore.com/mesh-sleeve-off-shoulder-peplum-top/105354796.html?dwvar_105354796_color=11
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Shown for all products,Scarcity,Product Page,No,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
,Discount code. Resets after hitting zero,Urgency,Product Page,Yes,https://www.eonsmoke.com
"No, I'd rather do it the hard way...",Popup,Misdirection,Product Page,No,https://wholesalesuiteplugin.com/woocommerce-wholesale-lead-capture/
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Checkout page,Misdirection,Checkout Process,No,https://www.newbalance.co.uk/nb1/nb1-990v3/US990MC3-BLANK.html?PROD=5912954&designId=5912954
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Periodic popup,Social Proof,Product Page,No,https://www.justhype.co.uk/products/hype-burgundy-mini-script-kids-zip-hoodie-and-joggers-set
Only 5 left in stock,Product detail,Scarcity,Product Page,No,https://www.appliancefactoryparts.com/search/part/1338103//
9 sold in last 4 hours,Product detail. Randomized.,Social Proof,Product Page,Yes,https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag
"Only 2 left, order soon",Product detail,Scarcity,Cart Page,No,https://www.columbia.com/mens-steens-mountain-full-zip-fleece-2.0-WM3220.html?cgid=sale&dwvar_WM3220_variationColor=437
Your cart is reserved for 14:57 minutes!,Top of cart page. Resets.,Urgency,Cart Page,Yes,https://hygoshop.com/products/anti-snoring-device
5 in stock,Product detail,Scarcity,Product Page,No,https://www.yarn.com/products/wonderland-yarns-mad-hatter-5-skein-pack
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Cart Page,No,https://www.sunberhair.com/collections/curly-hair/products/brazilian-curly-virgin-hair-lace-frontal-with-bundles-100-human-hair-extensions-wefts
,Sale. Resets on each load.,Urgency,Product Page,Yes,https://www.cellphonecases.com
4 people are looking at this right now.,On the product image,Social Proof,Product Page,No,https://www.very.co.uk/aruba-outdoor-2-seaternbspmodular-sofa-set/1600200267.prd
,Sale,Urgency,Product Page,No,https://www.justfashionnow.com
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.grasscity.com
Only a few more left!,Product detail. Doesn't say how many.,Scarcity,Product Page,No,https://www.kurufootwear.com/womens-quantum-leather.html?color=JetBlack-White
Only 1 left in stock!,Product detail,Scarcity,Product Page,No,https://www.alpinetrek.co.uk/seger-womens-set-runnig-active-sports-socks/?cnid=4afc520f5d2fbfa7b31851519f19b
,Flash deal/sale,Urgency,Product Page,No,https://www.bhphotovideo.com
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Periodic popup,Social Proof,Product Page,No,https://chainedandable.com/collections/old-english/products/st-christopher-cut-out-pendant-figaro
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Ticker at the top of the page,Social Proof,Product Page,No,https://www.pc-canada.com/item/CF360X.html
,Sale. Resets.,Urgency,Product Page,Yes,https://www.selectblinds.com
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Periodic popup. Hardcoded in JS.,Social Proof,Product Page,Yes,https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag
"No thanks, I don't like FREE stuff.",Popup,Misdirection,Product Page,No,https://marleylilly.com/product/monogrammed-duck-boots
,Discount code,Urgency,Product Page,No,https://shop.wigsbuy.com
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Left of page,Social Proof,Product Page,No,https://indiarush.com/rayon-peach-stitched-embroidred-long-kurti-pc14/
Only 8 item(s) left,Product detail,Scarcity,Product Page,No,https://www.everything5pounds.com/en/Knot-Strap-Velveteen-Heeled-Sandals/p/618485
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Periodic popup,Social Proof,Product Page,No,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
"No Thanks, I Don't Like Exclusive Offers.",Popup,Misdirection,Product Page,No,https://southerntide.com/products/backrush-stripe-intercoastal-performance-shirt
111 people have purchased this item,Popup right side,Social Proof,Product Page,No,https://kbdfans.cn/collections/keyboard-part/products/kbdfans-72-switches-tester-all-in-one
This product was viewed 26 seconds ago by someone from Princeton,Popup left bottom corner,Social Proof,Product Page,No,https://www.mxstore.com.au/p/Cycra-KTM-SXF-EXC-450-500-Full-Combat-Skid-Plate/CY6215-12
45 ADDED TO BAG IN THE PAST 24 HOURS,Product detail,Social Proof,Product Page,No,https://www.josbank.com/traveler-collection-washable-merino-wool-1-4-zip-mock-neck-sweater?rrec=true
17 people have viewed this wine today,Product detail,Social Proof,Product Page,No,https://wineinsiders.com/wine/2017-hayton-family-syrah
Status:Only 3 left in stock,Product detail,Scarcity,Product Page,No,https://pclinkshop.co.za/shop/computing/mouse-keyboard-other/game-console/pdp-afterglow-lvl-3-stereo-headset-for-ps4-retail-box-no-warranty-on-software-pdp-051-031-au-lic/
Free Shipping. Limited Time Only. for orders over $50,Summary,Urgency,Cart Page,No,https://www.parentgiving.com/shop/carnation-breakfast-essentials-no-sugar-added-36-gram-individual-packet-powder-oral-supplement-7868/p/
,Shipping,Urgency,Product Page,No,https://www.procook.co.uk
1626 people seeing this product right now,Periodic popup. Randomized.,Social Proof,Product Page,Yes,https://pclinkshop.co.za/shop/computing/mouse-keyboard-other/game-console/pdp-afterglow-lvl-3-stereo-headset-for-ps4-retail-box-no-warranty-on-software-pdp-051-031-au-lic/
,"Shows you prices in the popup based on your current product selection. However, doesn't disclose the recurring membership until the cart page in gray text.",Sneaking,Product Page,Depends,https://www.justfab.com/products/Faux-Suede-Pant-PT1618153-0001
Your order is reserved for 09:45 minutes!,Conversion Pirate. Resets on reload.,Urgency,Checkout Process,Yes,https://www.shopolis.com/collections/new/products/wireless-bluetooth-earpods-with-charging-box
Only 3 Left,Product detail,Scarcity,Product Page,No,https://www.shopimpressions.com/products/shopping-in-beverly-hill-shift-dress-in-hot-pink
Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,Periodic popup,Social Proof,Product Page,Yes,https://purekana.com/products/mint-cbd-oil-40-servings/
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Checkout Process,No,https://shop.ogadget.com/products/jelly
Limited Quantity,Product detail,Scarcity,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
"Someone in Ampang, Malaysia just bought",Periodic popup,Social Proof,Product Page,No,https://ikigaisoul.com/products/ahi-hoodie
Only 2 left,Product detail,Scarcity,Product Page,No,https://www.preppergunshop.com/sb-tactical-arm-brace-sb-tactical-pdw-collapsible-arm-brace-fde-sbt-logo-3-position-fits-ar15-uses-standard-bcg-buffer-pdw-02-sb
,Shipping,Urgency,Product Page,No,https://groupvertical.com
407 customers have viewed this item recently,Product detail,Social Proof,Product Page,No,https://www.menkind.co.uk/mini-massage-cushion
,Sale,Urgency,Product Page,No,https://www.cocooncenter.co.uk
"In stock, only 1 products left",Product detail,Scarcity,Product Page,No,https://www.edisac.com/leather-wallet-longchamp-3d-geometrique-longchamp-03418936-291-en/1
This size has only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.proenzaschouler.com/shopping/pre-order-light-acid-denim-xxl-tote-13396245
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.3wishes.com/lingerie/bras-panties/bra-panty-sets/sheer-heart-applique-bra-and-g-string/
,Sale,Urgency,Product Page,No,https://landofcoder.com
10 Left in stock,Product detail,Scarcity,Product Page,No,https://www.mybobs.com/view-in-your-room/boulder-entertainment-74%22-tv-console-with-tv-hutch/p/boulder-entertainment-74-tv-console-with-tv-hutch
Only 2 left,Product detail,Scarcity,Product Page,No,https://www.gartnerstudios.com/with-god-is-wisdom-might-journal-with-ribbon-gross-bookmark.html
00 HRS 57 MINS 56 SECS,Sticky header,Urgency,Product Page,Yes,https://www.adoreme.com/designer-collection/amelie-plus
"[NO THANKS, I'LL JUST WALK]",Popup,Misdirection,Product Page,No,https://www.solebicycles.com/products/the-shimmy-shimmy-ya
ONLY 1 WATCH LEFT,Product detail,Scarcity,Product Page,No,https://www.timebyme.com/anicorn-series-k452-solar-gold-silver-k452-s-42mm-automatic.html
,Sale,Urgency,Product Page,No,https://www.popreal.com
Low in stock,Product detail,Scarcity,Product Page,No,https://www.reebok.com/us/reebok-crossfit-cali-muscle-tank/DP3554.html?pr=home_rr&slot=2
Only 9 items left!,Product detail,Scarcity,Product Page,No,https://battlemerchant.com/Books-Magazines/Magazines/Medieval-Warfare-Magazine/Medieval-Warfare-Vol-VIII-6-The-Seventh-Crusade::60987.html?MODsid1=540fae7cb0d08157eccb0148515d6aaf
Only 1 Left!,Product detail,Scarcity,Product Page,No,https://touratech-usa.com/store/Touratech-Progressive-Lowering-Fork-Springs-Honda-Africa-Twin-CRF1000L-Adventure-Sports
